kind,ref_idx,depth,objectRad,dist,center_frame,RickerDetector|Green|peak,RickerDetector|Green|frame,RickerDetector|joint|peak,RickerDetector|joint|frame,BoxDetector|Green|peak,BoxDetector|Green|frame,BoxDetector|joint|peak,BoxDetector|joint|frame,MultiWidthRickerDetector|Green|peak,MultiWidthRickerDetector|Green|frame,MultiWidthRickerDetector|joint|peak,MultiWidthRickerDetector|joint|frame,FresnelMatchedFilterDetector|Green|peak,FresnelMatchedFilterDetector|Green|frame,FresnelMatchedFilterDetector|joint|peak,FresnelMatchedFilterDetector|joint|frame,NormalizedSNRDetector|Green|peak,NormalizedSNRDetector|Green|frame,NormalizedSNRDetector|joint|peak,NormalizedSNRDetector|joint|frame
inject,270,0.5592654219749646,1246.6203330917833,33.3368009398704,1748,3.755934332895883,1631,3.755934332895883,1631,3.373525821813321,981,3.373525821813321,981,4.334538281862818,1695,4.334538281862818,1695,4.999869912353523,1695,4.999869912353523,1695,40.51927877505824,867,40.51927877505824,867
inject,548,0.7110421159617247,1398.2765400628032,39.17008026412802,1611,4.902558710274928,1591,4.902558710274928,1591,6.3517275193257445,1590,6.3517275193257445,1590,5.027168150292119,1590,5.027168150292119,1590,7.083823081910815,1590,7.083823081910815,1590,1.7446200636589895,1590,1.7446200636589895,1590
inject,796,0.5559637075162078,1986.4394885884565,43.85618036062772,998,5.092963100246645,990,5.092963100246645,990,5.801227818992701,991,5.801227818992701,991,5.1226632832938925,990,5.1226632832938925,990,7.217576375312183,990,7.217576375312183,990,1.1040533817323688,1505,1.1040533817323688,1505
inject,1162,0.14508056725663,831.4126000719912,40.73876770388242,509,3.2718522105184102,2261,3.2718522105184102,2261,4.540704779611501,2261,4.540704779611501,2261,4.7795146040504575,1894,4.7795146040504575,1894,4.48479843376592,2260,4.48479843376592,2260,1.0710492252104622,2260,1.0710492252104622,2260
inject,1071,0.7664987056187429,1294.4705563836533,37.148826325586555,1810,3.1018176892998635,1849,3.1018176892998635,1849,4.049511206593282,1790,4.049511206593282,1790,3.905180630458517,379,3.905180630458517,379,4.454991975936906,336,4.454991975936906,336,21.29716697993905,968,21.29716697993905,968
inject,254,0.13021094194276306,624.8874648821272,44.632994676402305,1351,3.4021140657827043,598,3.4021140657827043,598,3.2477613191267656,996,3.2477613191267656,996,4.023901412560652,1670,4.023901412560652,1670,4.07055066279509,996,4.07055066279509,996,1.4053094643102821,1670,1.4053094643102821,1670
inject,1066,0.2323204569013576,1572.8847325066895,39.655571431204656,691,4.498434705790205,1381,4.498434705790205,1381,4.638288356893599,2371,4.638288356893599,2371,4.922576894655828,1039,4.922576894655828,1039,5.655130467415828,1382,5.655130467415828,1382,1.3697413512314853,1705,1.3697413512314853,1705
inject,830,0.1314025407724957,1025.4259443414098,30.60926342809118,1237,3.301086446920905,2315,3.301086446920905,2315,3.0042062918891945,1784,3.0042062918891945,1784,3.4585710593224963,1783,3.4585710593224963,1783,4.2268145687881145,1898,4.2268145687881145,1898,36.49651889380905,1016,36.49651889380905,1016
inject,549,0.28433226047429316,1697.633170409548,35.86940635617162,1868,3.2243507532425286,2189,3.2243507532425286,2189,3.4181626905611293,2191,3.4181626905611293,2191,4.615990189018011,2280,4.615990189018011,2280,4.849220964369914,223,4.849220964369914,223,1.6568748516647995,2280,1.6568748516647995,2280
inject,729,0.13823660990621212,1587.9141959146104,40.36907219160907,1839,3.6176718823245255,590,3.6176718823245255,590,4.001502519252633,2316,4.001502519252633,2316,4.035172625845269,590,4.035172625845269,590,4.631535650908441,590,4.631535650908441,590,0.8284886209863378,1066,0.8284886209863378,1066
inject,718,0.1960565980889316,447.3582492947228,36.38784360441032,1670,3.31494331253808,617,3.31494331253808,617,3.898555765786639,617,3.898555765786639,617,4.099772623484243,1171,4.099772623484243,1171,4.9679555988632895,2378,4.9679555988632895,2378,2.564462039729587,616,2.564462039729587,616
inject,1264,0.10397893035098738,308.32900548057853,34.84381205495968,429,3.289532061716039,434,3.289532061716039,434,3.6329369059734034,514,3.6329369059734034,514,3.6470002234413488,1037,3.6470002234413488,1037,3.982662037986795,492,3.982662037986795,492,2.0385579316259403,1037,2.0385579316259403,1037
inject,660,0.10252675354755159,1296.8432031572422,44.37614002769088,578,2.995626655037796,1581,2.995626655037796,1581,3.291592714782579,2072,3.291592714782579,2072,3.9571546217562013,1783,3.9571546217562013,1783,3.9321222858106153,1807,3.9321222858106153,1807,4.558028226701419,2071,4.558028226701419,2071
inject,860,0.13889791332918533,1722.9799539240066,41.673723391528924,2117,3.0637132254543125,1830,3.0637132254543125,1830,2.6397643334114314,2348,2.6397643334114314,2348,4.04579457187029,2300,4.04579457187029,2300,4.338497322726669,1778,4.338497322726669,1778,1.4883799849624444,2300,1.4883799849624444,2300
inject,144,0.09872705756865263,685.0506726600181,41.66316185822558,1253,3.4669325567591924,1594,3.4669325567591924,1594,4.19575392563314,736,4.19575392563314,736,3.794692629831733,733,3.794692629831733,733,4.879665809133066,1595,4.879665809133066,1595,0.7146620263633858,738,0.7146620263633858,738
inject,43,0.2931054848051473,1592.827217730925,31.647418290958633,1525,3.2386685110682785,448,3.2386685110682785,448,3.4693677212427936,447,3.4693677212427936,447,3.7118693691235327,448,3.7118693691235327,448,4.417047041127978,448,4.417047041127978,448,34.44906756415414,1215,34.44906756415414,1215
inject,946,0.29525107066172385,1295.3152957930572,40.99329115288073,1567,2.681217485099387,2302,2.681217485099387,2302,2.771392489997369,2302,2.771392489997369,2302,3.453352460703049,444,3.453352460703049,444,3.9925237849937645,749,3.9925237849937645,749,1.8444603824702563,466,1.8444603824702563,466
inject,614,0.1501572631520144,1482.0135803560913,40.43567029218686,685,2.8529717500333254,427,2.8529717500333254,427,3.1760224679957187,126,3.1760224679957187,126,3.3041834996927566,716,3.3041834996927566,716,4.2155252896996425,287,4.2155252896996425,287,3.6044734516256307,128,3.6044734516256307,128
inject,409,0.5794502057309978,1729.9980976264449,37.29780649954732,1258,3.0133457880622556,727,3.0133457880622556,727,4.757798003615364,728,4.757798003615364,728,4.660913869332676,727,4.660913869332676,727,5.258161277581254,1116,5.258161277581254,1116,6.832234603619079,860,6.832234603619079,860
inject,605,0.4058602801789014,1734.9886460063724,40.16698167143939,1601,4.420205741499287,1590,4.420205741499287,1590,4.478382233434531,1590,4.478382233434531,1590,4.420205741499287,1590,4.420205741499287,1590,4.776862705090706,1589,4.776862705090706,1589,0.8896171649506773,1592,0.8896171649506773,1592
inject,96,0.11285804667704435,959.0461603246719,32.47173978099005,2028,3.40986498077892,1303,3.40986498077892,1303,3.4547797518755514,733,3.4547797518755514,733,4.325266222664729,2243,4.325266222664729,2243,4.523598724522707,971,4.523598724522707,971,1.160367126359775,2243,1.160367126359775,2243
inject,935,0.4229485586356907,1381.6822111190818,41.83267733452257,626,2.995989313138095,459,2.995989313138095,459,3.1502651275292073,1280,3.1502651275292073,1280,3.7132613181221257,2291,3.7132613181221257,2291,3.9153806873180175,1278,3.9153806873180175,1278,34.659334565967406,1233,34.659334565967406,1233
inject,1261,0.7000663330256767,1686.3676913203194,33.256007716081896,1210,6.057649228986661,1190,6.057649228986661,1190,6.652294232708751,1190,6.652294232708751,1190,6.434720651400115,1190,6.434720651400115,1190,9.671956082309196,1190,9.671956082309196,1190,1.898888457435602,1191,1.898888457435602,1191
inject,605,0.5711505217694777,1614.549816670156,42.318399091168835,378,4.019957882173644,612,4.019957882173644,612,4.231622442889242,351,4.231622442889242,351,4.019957882173644,612,4.019957882173644,612,4.765611568666785,2255,4.765611568666785,2255,0.731982454791518,109,0.731982454791518,109
inject,923,0.2773360391108828,1280.7429932976456,37.91730117168716,935,3.3704723105079686,972,3.3704723105079686,972,4.474787338217966,972,4.474787338217966,972,3.656833350211747,735,3.656833350211747,735,4.875971766499991,827,4.875971766499991,827,8.8501949236493,973,8.8501949236493,973
inject,783,0.27503374870459063,958.4013555881858,39.358541729087015,1310,3.2359429023316286,2001,3.2359429023316286,2001,2.7841469759825936,399,2.7841469759825936,399,3.8250724816806745,1942,3.8250724816806745,1942,4.382080886644267,2371,4.382080886644267,2371,5.030749787060984,426,5.030749787060984,426
inject,304,0.3177280281288668,1340.9809563031463,39.16197658382713,1286,3.2383422420677506,1786,3.2383422420677506,1786,3.735880436217606,1323,3.735880436217606,1323,4.0797128226352575,1323,4.0797128226352575,1323,4.167494875133594,421,4.167494875133594,421,38.36796350052762,1155,38.36796350052762,1155
inject,256,0.1485947288710262,1733.125014802984,31.219855369604353,1062,3.2550226756518104,1008,3.2550226756518104,1008,3.7127211736985126,330,3.7127211736985126,330,3.3457676102551193,329,3.3457676102551193,329,4.236077383076685,330,4.236077383076685,330,27.9352360378051,2025,27.9352360378051,2025
inject,718,0.12191862699082201,1121.1143028374588,32.74068386493417,272,3.3188548399983473,617,3.3188548399983473,617,3.9030217876941715,617,3.9030217876941715,617,4.11331873628252,1171,4.11331873628252,1171,4.979059878856166,2378,4.979059878856166,2378,2.564381753517594,616,2.564381753517594,616
